taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey
5402943	Eupatorium cannabinum L.	5402943	Eupatorium cannabinum L.	12	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Eupatorium	3142374	Eupatorium cannabinum	5402943
7286721	Psilotum triquetrum Sw.	2688176	Psilotum nudum (L.) P.Beauv.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Psilotales	931	Psilotaceae	6630	Psilotum	2688173	Psilotum nudum	2688176
7551339	Nuphar lutea Sibth. & Sm.	7551339	Nuphar lutea Sibth. & Sm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Nymphaeales	636	Nymphaeaceae	2423	Nuphar	8009787	Nuphar lutea	7551339
9616058	Falco tinnunculus Linnaeus, 1758	9616058	Falco tinnunculus Linnaeus, 1758	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco tinnunculus	9616058
4497124	Andricus quercuscalicis (Burgsdorff, 1783)	4497124	Andricus quercuscalicis (Burgsdorff, 1783)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Cynipidae	4339	Andricus	1309591	Andricus quercuscalicis	4497124
8002952	Ambrosia artemisiifolia L.	8002952	Ambrosia artemisiifolia L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Ambrosia	3110576	Ambrosia artemisiifolia	8002952
2498111	Anas penelope Linnaeus, 1758	2498111	Anas penelope Linnaeus, 1758	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056	Anas penelope	2498111
3189815	Aesculus hippocastanum L.	3189815	Aesculus hippocastanum L.	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Aesculus	3189801	Aesculus hippocastanum	3189815
5384676	Stellaria holostea L.	5384676	Stellaria holostea L.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Stellaria	3085667	Stellaria holostea	5384676
7931731	Prunus domestica L.	7931731	Prunus domestica L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559	Prunus domestica	7931731
2142456	Uloborus plumipes Lucas, 1846	2142456	Uloborus plumipes Lucas, 1846	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Uloboridae	3326	Uloborus	2142445	Uloborus plumipes	2142456
2913548	Galium aparine L.	2913548	Galium aparine L.	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Galium	2913027	Galium aparine	2913548
9752149	Phasianus colchicus Linnaeus, 1758	9752149	Phasianus colchicus Linnaeus, 1758	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Phasianus	2473738	Phasianus colchicus	9752149
2925496	Verbena rigida Spreng.	2925496	Verbena rigida Spreng.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Verbenaceae	6689	Verbena	2925470	Verbena rigida	2925496
3172049	Veronica officinalis L.	3172049	Veronica officinalis L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Veronica	3172047	Veronica officinalis	3172049
3188736	Lythrum salicaria L.	3188736	Lythrum salicaria L.	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Lythraceae	6684	Lythrum	3188731	Lythrum salicaria	3188736
3712443	Hypericum dubium Leers	3712443	Hypericum dubium Leers	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Hypericaceae	4900406	Hypericum	3189452	Hypericum dubium	3712443
5232445	Branta sandvicensis (Vigors, 1834)	5232445	Branta sandvicensis (Vigors, 1834)	120	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Branta	2498190	Branta sandvicensis	5232445
3088492	Tagetes patula L.	3088488	Tagetes erecta L.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Tagetes	3088468	Tagetes erecta	3088488
3147761	Pseudognaphalium luteoalbum (L.) O.M.Hilliard & B.L.Burtt	3131229	Helichrysum luteoalbum (L.) Rchb.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Helichrysum	3131108	Helichrysum luteoalbum	3131229
5372952	Salix caprea L.	5372952	Salix caprea L.	11	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Salix	3039576	Salix caprea	5372952
6391648	Persicaria amphibia (L.) Gray	6391648	Persicaria amphibia (L.) Gray	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Persicaria	6390748	Persicaria amphibia	6391648
8605056	Hieracium murorum L.	8605056	Hieracium murorum L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Hieracium	3134951	Hieracium murorum	8605056
