gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2864738426	StillImage	image/jpeg	https://static.inaturalist.org/photos/83548299/original.jpeg?1594365430	https://www.inaturalist.org/photos/83548299					2020-07-06T07:42:03Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2864626658	StillImage	image/jpeg	https://static.inaturalist.org/photos/94587747/original.jpeg?1599822538	https://www.inaturalist.org/photos/94587747					2020-09-11T20:07:24Z	Maarten Trekels		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Maarten Trekels
2862553011	StillImage	image/jpeg	https://static.inaturalist.org/photos/93917228/original.jpeg?1599454832	https://www.inaturalist.org/photos/93917228					2020-09-06T20:52:25Z	Vespa-Watch		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Vespa-Watch
2862546037	StillImage	image/jpeg	https://static.inaturalist.org/photos/93942595/original.jpeg?1599478881	https://www.inaturalist.org/photos/93942595					2020-09-07T19:43:08Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2862500418	StillImage	image/jpeg	https://static.inaturalist.org/photos/83054151/original.jpeg?1594128001	https://www.inaturalist.org/photos/83054151					2020-07-07T21:21:02Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2859925338	StillImage	image/jpeg	https://static.inaturalist.org/photos/44418244/original.jpeg?1562674109	https://www.inaturalist.org/photos/44418244					2019-07-09T20:32:57Z	pieterhuy		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	pieterhuy
2856628204	StillImage	image/jpeg	https://static.inaturalist.org/photos/91782605/original.jpeg?1598358687	https://www.inaturalist.org/photos/91782605					2020-08-25T12:31:01Z	axellea		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	axellea
2851244348	StillImage	image/jpeg	https://static.inaturalist.org/photos/88349856/original.jpeg?1596629787	https://www.inaturalist.org/photos/88349856					2020-06-15T14:48:30Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2851239340	StillImage	image/jpeg	https://static.inaturalist.org/photos/88349848/original.jpeg?1596629782	https://www.inaturalist.org/photos/88349848					2020-06-15T06:11:30Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
2851223363	StillImage	image/jpeg	https://static.inaturalist.org/photos/88349877/original.jpeg?1596629796	https://www.inaturalist.org/photos/88349877					2020-06-18T03:42:25Z	Quentin Groom		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Quentin Groom
