id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
46265880,2020/05/16 4:09 PM CEST,2020-05-16,2020-05-16 14:09:00 UTC,Brussels,63000,qgroom,2020-05-17 17:53:48 UTC,2020-05-18 05:22:51 UTC,needs_id,CC0,https://www.inaturalist.org/observations/46265880,https://static.inaturalist.org/photos/73374959/medium.jpeg?1589737926,,"",,1,0,false,,"Tervuren, Belgium",50.8357605527,4.5349751216,31,,,false,,,Oligia,Oligia,,Insecta,133344
46265881,2020/05/17 1:22 PM CEST,2020-05-17,2020-05-17 11:22:00 UTC,Brussels,63000,qgroom,2020-05-17 17:53:48 UTC,2020-05-18 17:17:43 UTC,research,CC0,https://www.inaturalist.org/observations/46265881,https://static.inaturalist.org/photos/73374983/medium.jpeg?1589737931,,"",,1,0,false,,"Tervuren, Belgium",50.8357605527,4.5349751216,31,,,false,,,Pemphredon,Pemphredon,,Insecta,205173
46265882,2020/05/17 1:24 PM CEST,2020-05-17,2020-05-17 11:24:00 UTC,Brussels,63000,qgroom,2020-05-17 17:53:49 UTC,2020-12-12 07:35:47 UTC,needs_id,CC0,https://www.inaturalist.org/observations/46265882,https://static.inaturalist.org/photos/73375003/medium.jpeg?1589737936,,"",,1,0,false,,"Tervuren, Belgium",50.8357605527,4.5349751216,31,,,false,,,Zweiband-Wiesenschwebfliege,Epistrophe eligans,,Insecta,447104
46265903,2020/05/17 1:25 PM CEST,2020-05-17,2020-05-17 11:25:00 UTC,Brussels,63000,qgroom,2020-05-17 17:53:55 UTC,2020-05-17 17:55:46 UTC,needs_id,CC0,https://www.inaturalist.org/observations/46265903,https://static.inaturalist.org/photos/73375018/medium.jpeg?1589737941,,"",,0,0,false,,"Tervuren, Belgium",50.8357605527,4.5349751216,31,,,false,,,Cryptomyzus ribis,Cryptomyzus ribis,Redcurrant Blister Aphid,Insecta,454348
48689617,2020/05/25 5:33 AM CEST,2020-05-25,2020-05-25 03:33:00 UTC,Brussels,63000,qgroom,2020-06-06 19:27:16 UTC,2020-06-06 19:46:39 UTC,research,CC0,https://www.inaturalist.org/observations/48689617,https://static.inaturalist.org/photos/77267874/medium.jpeg?1591471606,,"","",1,0,false,,"Tervuren, Belgium",50.8360447098,4.5350985032,8,,open,false,,,Common Hedgehog,Erinaceus europaeus,Common Hedgehog,Mammalia,43042
51779731,2020/07/03 12:02 PM CEST,2020-07-03,2020-07-03 10:02:00 UTC,Paris,3277293,sabine108,2020-07-03 10:26:57 UTC,2020-07-03 10:58:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51779731,https://static.inaturalist.org/photos/82289767/medium.jpg?1593771969,,"",Bee Beetle in our garden,1,0,false,,"Tervuren, Belgium",50.8357232199,4.5349553123,31,,,false,,,French Flower Chafer,Trichius gallicus,French Flower Chafer,Insecta,556666
52353215,2020-07-06 8:23:08 PM GMT+02:00,2020-07-06,2020-07-06 18:23:08 UTC,Africa/Johannesburg,63000,qgroom,2020-07-08 11:26:22 UTC,2020-07-09 11:02:11 UTC,research,CC0,https://www.inaturalist.org/observations/52353215,https://static.inaturalist.org/photos/83220129/medium.jpeg?1594207586,,"",,2,0,false,2,"Vlaams Brabant, Vlaanderen, BE",50.83583805,4.535123,6,,,false,,,Haagwinde,Calystegia sepium,hedge bindweed,Plantae,57481
55016005,2020-07-31 5:33:36 AM GMT+02:00,2020-07-31,2020-07-31 03:33:36 UTC,Africa/Johannesburg,63000,qgroom,2020-08-01 09:27:25 UTC,2020-08-01 15:59:48 UTC,needs_id,CC0,https://www.inaturalist.org/observations/55016005,https://static.inaturalist.org/photos/87576961/medium.jpeg?1596274056,,"",,1,0,false,2,"Tervuren, Belgium",50.835855,4.5351359722,,,,false,gps,gps,Amphipyra berbera - pyramidea,Amphipyra berbera - pyramidea,,Insecta,1111562
56333201,2020-08-13 6:59:05 AM GMT+02:00,2020-08-13,2020-08-13 04:59:05 UTC,Africa/Johannesburg,63000,qgroom,2020-08-13 16:39:10 UTC,2020-08-13 16:47:47 UTC,needs_id,CC0,https://www.inaturalist.org/observations/56333201,https://static.inaturalist.org/photos/89765305/medium.jpeg?1597336754,,"",,0,0,false,2,"Tervuren, Belgium",50.83583641,4.53501258,13,,,false,,,Tuta absoluta,Tuta absoluta,,Insecta,330342
57477933,2020-08-24 10:19:24 PM GMT+02:00,2020-08-24,2020-08-24 20:19:24 UTC,Africa/Johannesburg,63000,qgroom,2020-08-24 20:21:14 UTC,2020-09-17 07:11:12 UTC,research,CC0,https://www.inaturalist.org/observations/57477933,https://static.inaturalist.org/photos/91683883/medium.jpeg?1598300480,,"",,2,0,false,2,"Tervuren, Belgium",50.83586631,4.53490033,9,,,false,,,Agriphila geniculea,Agriphila geniculea,Elbow-striped Grass-veneer,Insecta,334337
57477952,2020-08-24 10:20:02 PM GMT+02:00,2020-08-24,2020-08-24 20:20:02 UTC,Africa/Johannesburg,63000,qgroom,2020-08-24 20:21:26 UTC,2020-09-14 18:03:51 UTC,research,CC0,https://www.inaturalist.org/observations/57477952,https://static.inaturalist.org/photos/91683909/medium.jpeg?1598300490,,"",,2,0,false,2,"Tervuren, Belgium",50.83587995,4.53493267,7,,,false,,,Пяденица крапчатая,Idaea seriata,Small Dusty Wave,Insecta,322983
58342973,2020-09-02 6:39:42 PM GMT+02:00,2020-09-02,2020-09-02 16:39:42 UTC,Africa/Johannesburg,63000,qgroom,2020-09-02 16:55:53 UTC,2020-09-03 08:27:27 UTC,research,CC0,https://www.inaturalist.org/observations/58342973,https://static.inaturalist.org/photos/93139817/medium.jpeg?1599065759,,"",,2,0,false,2,"Tervuren, Belgium",50.835667,4.5350279722,,,,false,gps,gps,Great Green Bush-cricket,Tettigonia viridissima,Great Green Bush-cricket,Insecta,133250
63080193,Tue Oct 20 2020 12:20:06 GMT+0200 (GMT+2),2020-10-20,2020-10-20 10:20:06 UTC,Africa/Johannesburg,2394733,slobirder,2020-10-20 10:20:48 UTC,2020-10-20 10:21:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/63080193,https://static.inaturalist.org/photos/101178275/medium.jpg?1603189263,,"","",0,0,false,3,"Louis Pelserssquare, Tervuren, Flemish Brabant, BE",50.8357277723,4.5340731025,1414,,,false,,,"",Marasmiaceae,pinwheel family,Fungi,49545
63221736,2020-10-22 6:57:43 AM GMT+02:00,2020-10-22,2020-10-22 04:57:43 UTC,Africa/Johannesburg,63000,qgroom,2020-10-22 04:59:12 UTC,2020-10-22 04:59:20 UTC,needs_id,CC0,https://www.inaturalist.org/observations/63221736,https://static.inaturalist.org/photos/101430517/medium.jpeg?1603342757,,"",,0,0,false,2,"Tervuren, Belgium",50.8358389722,4.535171,,,,false,gps,gps,Ophion,Ophion,,Insecta,47993
64923208,2020-11-15 11:17:58 AM GMT+01:00,2020-11-15,2020-11-15 10:17:58 UTC,Brussels,63000,qgroom,2020-11-15 10:19:41 UTC,2020-11-17 23:56:26 UTC,research,CC0,https://www.inaturalist.org/observations/64923208,https://static.inaturalist.org/photos/104454106/medium.jpeg?1605435587,,"",,1,0,false,2,"Tervuren, Belgium",50.8358916,4.5351089,23,,,false,,,Holly Speckle,Trochila ilicina,Holly Speckle,Fungi,339412
